Item_ID,Bezeichnung,Einzelpreis,Einheit
161,Licht (Szene),1500,Tage
162,Postproduction Regie,928,Tage
163,Musik,50,Stück
164,Produktionsassistenz,560,Tage
165,Beleuchtung & 2. Kamera,,
166,Protagonistin Amy,500,Tage
167,Outfit,,
168,Anfahrt & Parkkosten,,
169,Unterkunft,,
170,Bildübertragung & Monitore,80,Tage
171,Licht (Szene),1300,Tage
172,Rental-Organisation,,pauschal
173,Verpflegung / Catering Montag,,
174,Sprecherlizenzen & Aufnahmebegleitung,800,pauschal
175,Kameramann Event,864,Tage
176,Musik,250,Stück
177,Produktionsassistenz,560,Tag
178,"Floorplan, Drehplan & Shotlist",928,Tag
179,Drehbuch / Textentwicklung,928,Tag
180,Kamera-Assistenz/1.AC,560,Tage
181,Licht,813,Tage
182,Best Boy,637,Tage
183,Ton,688,Tage
184,Nachtwache,,Nächte
185,Casting-Ausschreibungen,928,Tag
186,Proben,928,Tag
187,SHKler,1300,Tage
188,KSK-Abgaben,5%,
189,Unterkunft & Verpflegung,100,Nächte
190,Anreise,,
191,Objektivsatz,100,Tage
192,Kamerabühne,800,Tage
193,Monitorsystem,300,Tage
194,Ton,460,Tage
195,Licht Brilon,800,Tage
196,Verbrauchsmaterial Grip,100,Tage
197,Transporter Licht,115,Tage
198,Verpflegung / Catering Unterkunft,100,Nächte
199,Produktionssoftware,,
200,Catering,,
201,Bierzeltgarnituren,,
202,Editor & Schnittplatz Konzept 2,928,Tage
203,Editor & Schnittplatz Konzept 4,928,Tage
204,Drehbuch / Text-Sparring,928.0,Tage
205,Licht-Meister,880.0,Tage
206,Optiken,300.0,Tage
207,Slider,200.0,Tage
208,Grip,200.0,Tage
209,Transporter,90.0,Stück
210,Sprecherlizenzen & Aufnahmebegleitung,800.0,Stück
211,Regieassistenz,560.0,Tage
212,Best Boy/Girl,590.0,Tage
213,Transporter 2x,180.0,Tage
214,Miete Säulen,,
215,Hero,928.0,Tage
216,Sprecherlizenzen & aufnahme,,pauschal
217,D,928.0,Tage
218,E,928.0,Tage
219,G,928.0,Tage
220,N,928.0,Tage
221,K,928.0,Tage
222,Locationbegehung Casino,3000.0,0.5 Tage
223,Casting,640.0,4.0 Tage
224,Drehbuch,1000.0,5.0 Tage
225,Shotlist & Planung,800.0,4.0 Tage
226,Personentage,1160.0,Tage
227,Fahrtkosten,0.35,km
